,HC,ED,CLG,CLD,MCL
ACSF1,0.58,0.54,0.76,0.752,0.896
Adiac,0.4117647,0.6113,0.5370844,0.54526854,0.6803069
AllGestureWiimoteX,0.37285715,0.5157,0.5337143,0.5148571,0.65914285
AllGestureWiimoteY,0.38,0.5686,0.5782857,0.548,0.726
AllGestureWiimoteZ,0.29714286,0.4543,0.4062857,0.41085714,0.61542857
ArrowHead,0.6514286,0.8,0.6068571,0.632,0.8217143
BME,0.56,0.8333,0.66533333,0.6306667,0.9813333
Beef,0.5,0.6667,0.42,0.43333334,0.6666667
BeetleFly,0.95,0.75,0.76,0.72,0.75
BirdChicken,0.7,0.55,0.94,0.94,0.82
CBF,0.65555555,0.8522,0.9942222,0.996,0.94222224
Car,0.41666666,0.7333,0.47666666,0.48,0.78
Chinatown,0.5102041,0.9534,0.7090379,0.86763847,0.92594755
ChlorineConcentration,0.446875,0.65,0.45739582,0.44927084,0.6585938
CinCECGTorso,0.4963768,0.8971,0.52217394,0.52362317,0.723913
Coffee,0.5714286,1.0,0.96428573,0.95714283,0.94285715
Computers,0.576,0.576,0.5968,0.6088,0.6656
CricketX,0.25897437,0.5769,0.5497436,0.52615386,0.71179485
CricketY,0.17692308,0.5667,0.54,0.47128206,0.67538464
CricketZ,0.25641027,0.5872,0.59589744,0.5194872,0.7246154
Crop,0.47613096,0.7117,0.5407738,0.56159526,0.72667855
DiatomSizeReduction,0.99346405,0.9346,0.8601307,0.84444445,0.86928105
DistalPhalanxOutlineAgeGroup,0.6115108,0.6259,0.6906475,0.68345326,0.6172662
DistalPhalanxOutlineCorrect,0.6702899,0.7174,0.70507246,0.7057971,0.65724635
DistalPhalanxTW,0.48920864,0.6331,0.60431653,0.58417267,0.55107915
DodgerLoopDay,0.3125,0.55,0.4075,0.44,0.49
DodgerLoopGame,0.5942029,0.8841,0.7173913,0.6927536,0.7942029
DodgerLoopWeekend,0.8115942,0.9855,0.9057971,0.8710145,0.9463768
ECG200,0.72,0.88,0.802,0.768,0.868
ECG5000,0.85244447,0.9249,0.9179556,0.9179556,0.92146665
ECGFiveDays,0.72706157,0.7967,0.8585366,0.91335654,0.9400697
EOGHorizontalSignal,0.29005525,0.4171,0.3635359,0.3569061,0.4436464
EOGVerticalSignal,0.17127071,0.442,0.26243094,0.2524862,0.38066298
Earthquakes,0.64028776,0.7122,0.6302158,0.64028776,0.6877698
ElectricDevices,0.40915576,0.5508,0.5436649,0.5537025,0.61089355
EthanolLevel,0.27,0.274,0.3196,0.3244,0.5128
FaceAll,0.21420118,0.7136,0.65715975,0.66556215,0.7908876
FaceFour,0.4090909,0.7841,0.6340909,0.8068182,0.8454546
FacesUCR,0.3395122,0.7693,0.7550244,0.79034144,0.9058536
FiftyWords,0.13186814,0.6308,0.37846154,0.37494504,0.60131866
Fish,0.2742857,0.7829,0.65257144,0.64,0.8537143
FordA,0.5272727,0.6652,0.81166667,0.7906061,0.8757576
FordB,0.50864196,0.6062,0.6795062,0.6775309,0.72839504
