Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ACSF1,0.72,0.76,0.75,0.78,0.75
Adiac,0.5728900255754475,0.5396419437340153,0.5345268542199488,0.5319693094629157,0.5473145780051151
AllGestureWiimoteX,0.5071428571428571,0.5057142857142857,0.53,0.51,0.5214285714285715
AllGestureWiimoteY,0.5428571428571428,0.5514285714285714,0.5614285714285714,0.5528571428571428,0.5314285714285715
AllGestureWiimoteZ,0.41,0.4042857142857143,0.4185714285714286,0.40285714285714286,0.4185714285714286
ArrowHead,0.6228571428571429,0.6285714285714286,0.6571428571428571,0.5771428571428572,0.6742857142857143
BME,0.6666666666666666,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.6466666666666666
Beef,0.43333333333333335,0.4666666666666667,0.4,0.4666666666666667,0.4
BeetleFly,0.75,0.7,0.75,0.65,0.75
BirdChicken,0.95,0.9,0.95,1.0,0.9
CBF,0.9933333333333333,0.9922222222222222,0.9988888888888889,1.0,0.9955555555555555
Car,0.48333333333333334,0.48333333333333334,0.5333333333333333,0.43333333333333335,0.4666666666666667
Chinatown,0.9300291545189504,0.7813411078717201,0.8979591836734694,0.8483965014577259,0.880466472303207
ChlorineConcentration,0.45755208333333336,0.43411458333333336,0.46171875,0.44947916666666665,0.4434895833333333
CinCECGTorso,0.5289855072463768,0.527536231884058,0.5260869565217391,0.5123188405797101,0.5231884057971015
Coffee,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143
Computers,0.616,0.592,0.604,0.624,0.608
CricketX,0.5153846153846153,0.5256410256410257,0.5358974358974359,0.5333333333333333,0.5205128205128206
CricketY,0.4794871794871795,0.5025641025641026,0.44871794871794873,0.47692307692307695,0.44871794871794873
CricketZ,0.5487179487179488,0.5487179487179488,0.5128205128205128,0.47692307692307695,0.5102564102564102
Crop,0.589047619047619,0.5555357142857142,0.5354761904761904,0.5825,0.5454166666666667
DiatomSizeReduction,0.8398692810457516,0.8529411764705882,0.8529411764705882,0.8235294117647058,0.8529411764705882
DistalPhalanxOutlineAgeGroup,0.6690647482014388,0.7266187050359713,0.6906474820143885,0.6402877697841727,0.6906474820143885
DistalPhalanxOutlineCorrect,0.717391304347826,0.6992753623188406,0.7065217391304348,0.6956521739130435,0.7101449275362319
DistalPhalanxTW,0.5611510791366906,0.5827338129496403,0.5755395683453237,0.5827338129496403,0.6187050359712231
DodgerLoopDay,0.425,0.45,0.5,0.4125,0.4125
DodgerLoopGame,0.7463768115942029,0.6014492753623188,0.6884057971014492,0.7246376811594203,0.7028985507246377
DodgerLoopWeekend,0.8478260869565217,0.9347826086956522,0.8913043478260869,0.8768115942028986,0.8043478260869565
ECG200,0.79,0.79,0.76,0.74,0.76
ECG5000,0.916,0.9191111111111111,0.9184444444444444,0.9215555555555556,0.9146666666666666
ECGFiveDays,0.9047619047619048,0.9175377468060395,0.9198606271777003,0.8943089430894309,0.9303135888501742
EOGHorizontalSignal,0.3756906077348066,0.36464088397790057,0.3287292817679558,0.3425414364640884,0.3729281767955801
EOGVerticalSignal,0.2430939226519337,0.2430939226519337,0.2569060773480663,0.2569060773480663,0.26243093922651933
Earthquakes,0.6834532374100719,0.60431654676259,0.6330935251798561,0.6546762589928058,0.6258992805755396
ElectricDevices,0.5602386201530282,0.5690571910258073,0.5511606795486966,0.5272986642458825,0.5607573596161328
EthanolLevel,0.278,0.35,0.312,0.32,0.362
FaceAll,0.6674556213017752,0.6674556213017752,0.676923076923077,0.6644970414201183,0.6514792899408284
FaceFour,0.8295454545454546,0.7954545454545454,0.8068181818181818,0.8181818181818182,0.7840909090909091
FacesUCR,0.7678048780487805,0.7946341463414635,0.775609756097561,0.784390243902439,0.8292682926829268
FiftyWords,0.378021978021978,0.3802197802197802,0.3934065934065934,0.35824175824175825,0.3648351648351648
Fish,0.6742857142857143,0.6285714285714286,0.6228571428571429,0.6457142857142857,0.6285714285714286
FordA,0.753030303030303,0.8075757575757576,0.7340909090909091,0.8143939393939394,0.843939393939394
FordB,0.6419753086419753,0.6555555555555556,0.6962962962962963,0.7580246913580246,0.6358024691358025
FreezerRegularTrain,0.9119298245614035,0.8719298245614036,0.9003508771929825,0.9014035087719299,0.8971929824561403
FreezerSmallTrain,0.6915789473684211,0.6891228070175439,0.6978947368421052,0.6971929824561404,0.6975438596491228
Fungi,0.6935483870967742,0.7419354838709677,0.6451612903225806,0.7204301075268817,0.6559139784946236
GestureMidAirD1,0.27692307692307694,0.27692307692307694,0.25384615384615383,0.27692307692307694,0.3153846153846154
GestureMidAirD2,0.2923076923076923,0.25384615384615383,0.2846153846153846,0.3153846153846154,0.27692307692307694
GestureMidAirD3,0.16153846153846155,0.17692307692307693,0.16153846153846155,0.14615384615384616,0.16923076923076924
GesturePebbleZ1,0.6744186046511628,0.686046511627907,0.6686046511627907,0.6744186046511628,0.7209302325581395
GesturePebbleZ2,0.569620253164557,0.5379746835443038,0.5949367088607594,0.6075949367088608,0.5822784810126582
GunPoint,0.8666666666666667,0.8333333333333334,0.8266666666666667,0.84,0.8666666666666667
GunPointAgeSpan,0.9556962025316456,0.9556962025316456,0.9620253164556962,0.9588607594936709,0.9588607594936709
GunPointMaleVersusFemale,0.9746835443037974,0.9525316455696202,0.9493670886075949,0.9525316455696202,0.990506329113924
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0
Ham,0.5142857142857142,0.5333333333333333,0.6,0.5428571428571428,0.5904761904761905
HandOutlines,0.7135135135135136,0.7,0.6432432432432432,0.6756756756756757,0.7378378378378379
Haptics,0.31493506493506496,0.2857142857142857,0.275974025974026,0.3344155844155844,0.2922077922077922
Herring,0.484375,0.515625,0.5625,0.4375,0.5
HouseTwenty,0.9159663865546218,0.7478991596638656,0.7394957983193278,0.7815126050420168,0.6638655462184874
InlineSkate,0.3090909090909091,0.3054545454545455,0.2909090909090909,0.29454545454545455,0.2909090909090909
InsectEPGRegularTrain,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.3181818181818182,0.3106060606060606,0.33181818181818185,0.295959595959596,0.32626262626262625
ItalyPowerDemand,0.9086491739552964,0.9261418853255587,0.956268221574344,0.9290573372206026,0.9135082604470359
LargeKitchenAppliances,0.7093333333333334,0.712,0.7733333333333333,0.8026666666666666,0.712
Lightning2,0.7377049180327869,0.7868852459016393,0.7377049180327869,0.7377049180327869,0.7540983606557377
Lightning7,0.589041095890411,0.5616438356164384,0.6301369863013698,0.547945205479452,0.5753424657534246
Mallat,0.8788912579957356,0.826865671641791,0.8191897654584221,0.8183368869936034,0.8686567164179104
Meat,0.8666666666666667,0.85,0.8833333333333333,0.85,0.8666666666666667
MedicalImages,0.6197368421052631,0.5907894736842105,0.6407894736842106,0.6328947368421053,0.5671052631578948
MelbournePedestrian,0.8585485854858549,0.8556785567855678,0.8511685116851169,0.8503485034850349,0.8491184911849119
MiddlePhalanxOutlineAgeGroup,0.461038961038961,0.45454545454545453,0.5,0.5194805194805194,0.525974025974026
MiddlePhalanxOutlineCorrect,0.718213058419244,0.7079037800687286,0.7319587628865979,0.7353951890034365,0.738831615120275
MiddlePhalanxTW,0.4675324675324675,0.44805194805194803,0.474025974025974,0.4675324675324675,0.474025974025974
MixedShapesRegularTrain,0.5979381443298969,0.5901030927835051,0.6078350515463917,0.5905154639175257,0.6309278350515464
