Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ACSF1,0.76,0.74,0.75,0.76,0.79
Adiac,0.5575447570332481,0.5217391304347826,0.5396419437340153,0.5421994884910486,0.5242966751918159
AllGestureWiimoteX,0.5357142857142857,0.5285714285714286,0.5257142857142857,0.5428571428571428,0.5357142857142857
AllGestureWiimoteY,0.5685714285714286,0.5842857142857143,0.5557142857142857,0.5742857142857143,0.6085714285714285
AllGestureWiimoteZ,0.42,0.42142857142857143,0.4142857142857143,0.38571428571428573,0.39
ArrowHead,0.5885714285714285,0.6,0.6228571428571429,0.5885714285714285,0.6342857142857142
BME,0.66,0.64,0.6533333333333333,0.6933333333333334,0.68
Beef,0.4,0.5,0.4,0.4,0.4
BeetleFly,0.75,0.75,0.75,0.75,0.8
BirdChicken,1.0,0.95,0.95,0.95,0.85
CBF,0.9966666666666667,0.99,0.9977777777777778,0.9922222222222222,0.9944444444444445
Car,0.45,0.48333333333333334,0.48333333333333334,0.4666666666666667,0.5
Chinatown,0.6297376093294461,0.8425655976676385,0.6997084548104956,0.6793002915451894,0.6938775510204082
ChlorineConcentration,0.471875,0.46380208333333334,0.4544270833333333,0.4513020833333333,0.44557291666666665
CinCECGTorso,0.5181159420289855,0.5304347826086957,0.5101449275362319,0.5210144927536232,0.5311594202898551
Coffee,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
Computers,0.576,0.6,0.604,0.588,0.616
CricketX,0.5282051282051282,0.5435897435897435,0.5692307692307692,0.5692307692307692,0.5384615384615384
CricketY,0.517948717948718,0.5384615384615384,0.5307692307692308,0.541025641025641,0.5717948717948718
CricketZ,0.5948717948717949,0.5897435897435898,0.5692307692307692,0.6358974358974359,0.5897435897435898
Crop,0.5457142857142857,0.554404761904762,0.5392857142857143,0.5122023809523809,0.5522619047619047
DiatomSizeReduction,0.8333333333333334,0.8594771241830066,0.8823529411764706,0.9248366013071896,0.8006535947712419
DistalPhalanxOutlineAgeGroup,0.6906474820143885,0.7050359712230215,0.6762589928057554,0.6834532374100719,0.697841726618705
DistalPhalanxOutlineCorrect,0.6811594202898551,0.7391304347826086,0.7210144927536232,0.6956521739130435,0.6884057971014492
DistalPhalanxTW,0.5899280575539568,0.5899280575539568,0.60431654676259,0.6115107913669064,0.6258992805755396
DodgerLoopDay,0.45,0.4875,0.375,0.3375,0.3875
DodgerLoopGame,0.7391304347826086,0.717391304347826,0.7246376811594203,0.6739130434782609,0.7318840579710145
DodgerLoopWeekend,0.782608695652174,0.9202898550724637,0.9347826086956522,0.9492753623188406,0.9420289855072463
ECG200,0.78,0.82,0.79,0.79,0.83
ECG5000,0.9195555555555556,0.9186666666666666,0.9215555555555556,0.9217777777777778,0.9082222222222223
ECGFiveDays,0.8524970963995354,0.883855981416957,0.8559814169570267,0.8362369337979094,0.8641114982578397
EOGHorizontalSignal,0.3729281767955801,0.3453038674033149,0.3425414364640884,0.3756906077348066,0.3812154696132597
EOGVerticalSignal,0.2569060773480663,0.26243093922651933,0.26795580110497236,0.26795580110497236,0.2569060773480663
Earthquakes,0.6474820143884892,0.6690647482014388,0.6187050359712231,0.60431654676259,0.6115107913669064
ElectricDevices,0.5219815847490598,0.5691868758915835,0.5388406172999611,0.5378031383737518,0.5505122552198158
EthanolLevel,0.292,0.31,0.31,0.318,0.368
FaceAll,0.6378698224852071,0.670414201183432,0.6248520710059171,0.6875739644970414,0.6650887573964497
FaceFour,0.7045454545454546,0.6590909090909091,0.625,0.6136363636363636,0.5681818181818182
FacesUCR,0.7429268292682927,0.7614634146341464,0.7663414634146342,0.7746341463414634,0.7297560975609756
FiftyWords,0.34505494505494505,0.35384615384615387,0.4,0.3978021978021978,0.3956043956043956
Fish,0.6571428571428571,0.6628571428571428,0.7371428571428571,0.5828571428571429,0.6228571428571429
FordA,0.7333333333333333,0.8628787878787879,0.7924242424242425,0.8068181818181818,0.8628787878787879
FordB,0.6703703703703704,0.6691358024691358,0.6790123456790124,0.7049382716049383,0.674074074074074
FreezerRegularTrain,0.9017543859649123,0.9094736842105263,0.8996491228070176,0.8821052631578947,0.9028070175438596
FreezerSmallTrain,0.6894736842105263,0.6971929824561404,0.6919298245614035,0.6856140350877193,0.6873684210526316
Fungi,0.6774193548387096,0.7473118279569892,0.6720430107526881,0.6881720430107527,0.6935483870967742
GestureMidAirD1,0.2846153846153846,0.3076923076923077,0.27692307692307694,0.27692307692307694,0.2923076923076923
GestureMidAirD2,0.24615384615384617,0.3076923076923077,0.3153846153846154,0.3076923076923077,0.3230769230769231
