Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ACSF1,0.91,0.88,0.89,0.9,0.9
Adiac,0.6828644501278772,0.6930946291560103,0.639386189258312,0.6828644501278772,0.7033248081841432
AllGestureWiimoteX,0.64,0.6585714285714286,0.6757142857142857,0.6628571428571428,0.6585714285714286
AllGestureWiimoteY,0.7057142857142857,0.7328571428571429,0.71,0.7428571428571429,0.7385714285714285
AllGestureWiimoteZ,0.6228571428571429,0.6314285714285715,0.6114285714285714,0.6257142857142857,0.5857142857142857
ArrowHead,0.8114285714285714,0.8171428571428572,0.8114285714285714,0.8457142857142858,0.8228571428571428
BME,0.9733333333333334,0.98,0.9866666666666667,0.9733333333333334,0.9933333333333333
Beef,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.6
BeetleFly,0.8,0.8,0.75,0.65,0.75
BirdChicken,0.8,0.8,0.85,0.8,0.85
CBF,0.95,0.9433333333333334,0.9366666666666666,0.9433333333333334,0.9377777777777778
Car,0.8,0.7666666666666667,0.7833333333333333,0.7833333333333333,0.7666666666666667
Chinatown,0.9533527696793003,0.9008746355685131,0.924198250728863,0.9212827988338192,0.9300291545189504
ChlorineConcentration,0.65625,0.6653645833333334,0.6682291666666667,0.6536458333333334,0.6494791666666667
CinCECGTorso,0.7434782608695653,0.7072463768115942,0.7007246376811594,0.7471014492753624,0.7210144927536232
Coffee,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.8928571428571429
Computers,0.668,0.664,0.64,0.684,0.672
CricketX,0.7128205128205128,0.7051282051282052,0.7230769230769231,0.7282051282051282,0.6897435897435897
CricketY,0.6743589743589744,0.6871794871794872,0.6743589743589744,0.6333333333333333,0.7076923076923077
CricketZ,0.7333333333333333,0.7384615384615385,0.6923076923076923,0.7153846153846154,0.7435897435897436
Crop,0.7261309523809524,0.7283333333333334,0.7246428571428571,0.7275595238095238,0.7267261904761905
DiatomSizeReduction,0.8725490196078431,0.8627450980392157,0.8725490196078431,0.8431372549019608,0.8954248366013072
DistalPhalanxOutlineAgeGroup,0.5971223021582733,0.6402877697841727,0.5827338129496403,0.6402877697841727,0.6258992805755396
DistalPhalanxOutlineCorrect,0.6739130434782609,0.6304347826086957,0.6630434782608695,0.6594202898550725,0.6594202898550725
DistalPhalanxTW,0.60431654676259,0.539568345323741,0.5107913669064749,0.5971223021582733,0.5035971223021583
DodgerLoopDay,0.475,0.4625,0.5125,0.55,0.45
DodgerLoopGame,0.7898550724637681,0.7608695652173914,0.8043478260869565,0.8188405797101449,0.7971014492753623
DodgerLoopWeekend,0.927536231884058,0.9637681159420289,0.9565217391304348,0.9492753623188406,0.9347826086956522
ECG200,0.9,0.85,0.88,0.86,0.85
ECG5000,0.9191111111111111,0.9228888888888889,0.9213333333333333,0.9208888888888889,0.9231111111111111
ECGFiveDays,0.9512195121951219,0.9616724738675958,0.9221835075493612,0.9372822299651568,0.9279907084785134
EOGHorizontalSignal,0.45027624309392267,0.43922651933701656,0.4585635359116022,0.45027624309392267,0.4198895027624309
EOGVerticalSignal,0.3701657458563536,0.3674033149171271,0.36464088397790057,0.38950276243093923,0.4116022099447514
Earthquakes,0.7266187050359713,0.7338129496402878,0.6762589928057554,0.6618705035971223,0.6402877697841727
ElectricDevices,0.6130203605239268,0.6087407599533134,0.6082220204902088,0.6078329658928803,0.6166515367656594
EthanolLevel,0.514,0.506,0.508,0.506,0.53
FaceAll,0.7668639053254438,0.7840236686390533,0.7958579881656804,0.8094674556213017,0.7982248520710059
FaceFour,0.8863636363636364,0.8068181818181818,0.8522727272727273,0.8068181818181818,0.875
FacesUCR,0.9087804878048781,0.9004878048780488,0.9078048780487805,0.9073170731707317,0.9048780487804878
FiftyWords,0.6021978021978022,0.6285714285714286,0.589010989010989,0.5758241758241758,0.610989010989011
Fish,0.8571428571428571,0.8514285714285714,0.8514285714285714,0.8685714285714285,0.84
FordA,0.8727272727272727,0.8727272727272727,0.8712121212121212,0.8787878787878788,0.8833333333333333
FordB,0.7197530864197531,0.717283950617284,0.745679012345679,0.725925925925926,0.7333333333333333
FreezerRegularTrain,0.9435087719298245,0.9698245614035088,0.9628070175438597,0.9596491228070175,0.9621052631578947
FreezerSmallTrain,0.7726315789473684,0.7922807017543859,0.7859649122807018,0.8031578947368421,0.7768421052631579
Fungi,0.9354838709677419,0.9086021505376344,0.9354838709677419,0.946236559139785,0.9301075268817204
GestureMidAirD1,0.5538461538461539,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5615384615384615
GestureMidAirD2,0.49230769230769234,0.49230769230769234,0.5461538461538461,0.5153846153846153,0.5076923076923077
GestureMidAirD3,0.3153846153846154,0.3,0.3076923076923077,0.2846153846153846,0.3
GesturePebbleZ1,0.6337209302325582,0.6511627906976745,0.7383720930232558,0.6802325581395349,0.7151162790697675
GesturePebbleZ2,0.6645569620253164,0.6265822784810127,0.6392405063291139,0.6772151898734177,0.6455696202531646
GunPoint,1.0,1.0,0.9933333333333333,1.0,1.0
GunPointAgeSpan,0.9873417721518988,0.9936708860759493,0.9936708860759493,0.9968354430379747,0.9968354430379747
GunPointMaleVersusFemale,0.9968354430379747,0.9968354430379747,1.0,1.0,1.0
GunPointOldVersusYoung,0.9968253968253968,1.0,1.0,1.0,1.0
Ham,0.5714285714285714,0.5333333333333333,0.6,0.5714285714285714,0.5714285714285714
HandOutlines,0.8378378378378378,0.7891891891891892,0.7675675675675676,0.7972972972972973,0.827027027027027
Haptics,0.4642857142857143,0.3961038961038961,0.3961038961038961,0.44155844155844154,0.44805194805194803
Herring,0.625,0.59375,0.53125,0.578125,0.515625
HouseTwenty,0.8739495798319328,0.865546218487395,0.907563025210084,0.8823529411764706,0.8991596638655462
InlineSkate,0.4218181818181818,0.39454545454545453,0.41818181818181815,0.4,0.41454545454545455
InsectEPGRegularTrain,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.40505050505050505,0.4106060606060606,0.45151515151515154,0.41414141414141414,0.4065656565656566
ItalyPowerDemand,0.9310009718172984,0.9446064139941691,0.9358600583090378,0.9280855199222546,0.9397473275024295
LargeKitchenAppliances,0.72,0.7386666666666667,0.768,0.7306666666666667,0.7333333333333333
Lightning2,0.7868852459016393,0.8360655737704918,0.7704918032786885,0.7377049180327869,0.7868852459016393
Lightning7,0.7123287671232876,0.7123287671232876,0.726027397260274,0.6986301369863014,0.7397260273972602
Mallat,0.8085287846481877,0.8400852878464818,0.8567164179104477,0.8362473347547974,0.8072494669509594
Meat,0.8166666666666667,0.8,0.85,0.8666666666666667,0.8833333333333333
MedicalImages,0.6631578947368421,0.6894736842105263,0.6815789473684211,0.7013157894736842,0.6657894736842105
MelbournePedestrian,0.922919229192292,0.9298892988929889,0.9278392783927839,0.9249692496924969,0.9282492824928249
MiddlePhalanxOutlineAgeGroup,0.4935064935064935,0.4935064935064935,0.4805194805194805,0.487012987012987,0.4675324675324675
MiddlePhalanxOutlineCorrect,0.6357388316151202,0.6941580756013745,0.7079037800687286,0.6323024054982818,0.6838487972508591
MiddlePhalanxTW,0.487012987012987,0.4935064935064935,0.487012987012987,0.487012987012987,0.512987012987013
MixedShapesRegularTrain,0.9249484536082474,0.9245360824742268,0.9290721649484536,0.911340206185567,0.9228865979381443
MixedShapesSmallTrain,0.8338144329896907,0.845360824742268,0.8412371134020619,0.8321649484536082,0.8437113402061855
MoteStrain,0.8825878594249201,0.8849840255591054,0.8738019169329073,0.8761980830670927,0.8865814696485623
NonInvasiveFetalECGThorax1,0.8371501272264631,0.8346055979643766,0.8519083969465648,0.8452926208651399,0.8396946564885496
NonInvasiveFetalECGThorax2,0.8804071246819338,0.878880407124682,0.8692111959287532,0.8732824427480916,0.8753180661577609
OSULeaf,0.8760330578512396,0.8347107438016529,0.8760330578512396,0.8760330578512396,0.8884297520661157
OliveOil,0.7,0.7333333333333333,0.7,0.8,0.7666666666666667
