,HC,ED,CLG,CLD,MCL
ACSF1,2.0,1.0,4.0,3.0,5.0
Adiac,1.0,4.0,2.0,3.0,5.0
AllGestureWiimoteX,1.0,3.0,4.0,2.0,5.0
AllGestureWiimoteY,1.0,3.0,4.0,2.0,5.0
AllGestureWiimoteZ,1.0,4.0,2.0,3.0,5.0
ArrowHead,3.0,4.0,1.0,2.0,5.0
BME,1.0,4.0,3.0,2.0,5.0
Beef,3.0,5.0,1.0,2.0,4.0
BeetleFly,5.0,2.0,4.0,1.0,2.0
BirdChicken,2.0,1.0,4.0,4.0,3.0
CBF,1.0,2.0,4.0,5.0,3.0
Car,1.0,4.0,2.0,3.0,5.0
Chinatown,1.0,5.0,2.0,3.0,4.0
ChlorineConcentration,1.0,4.0,3.0,2.0,5.0
CinCECGTorso,1.0,5.0,2.0,3.0,4.0
Coffee,1.0,5.0,4.0,3.0,2.0
Computers,1.0,1.0,3.0,4.0,5.0
CricketX,1.0,4.0,3.0,2.0,5.0
CricketY,1.0,4.0,3.0,2.0,5.0
CricketZ,1.0,3.0,4.0,2.0,5.0
Crop,1.0,4.0,2.0,3.0,5.0
DiatomSizeReduction,5.0,4.0,2.0,1.0,3.0
DistalPhalanxOutlineAgeGroup,1.0,3.0,5.0,4.0,2.0
DistalPhalanxOutlineCorrect,2.0,5.0,3.0,4.0,1.0
DistalPhalanxTW,1.0,5.0,4.0,3.0,2.0
DodgerLoopDay,1.0,5.0,2.0,3.0,4.0
DodgerLoopGame,1.0,5.0,3.0,2.0,4.0
DodgerLoopWeekend,1.0,5.0,3.0,2.0,4.0
ECG200,1.0,5.0,3.0,2.0,4.0
ECG5000,1.0,5.0,2.0,2.0,4.0
ECGFiveDays,1.0,2.0,3.0,4.0,5.0
EOGHorizontalSignal,1.0,4.0,3.0,2.0,5.0
EOGVerticalSignal,1.0,5.0,3.0,2.0,4.0
Earthquakes,2.0,5.0,1.0,2.0,4.0
ElectricDevices,1.0,3.0,2.0,4.0,5.0
EthanolLevel,1.0,2.0,3.0,4.0,5.0
FaceAll,1.0,4.0,2.0,3.0,5.0
