,HC,ED,CLG,CLD,MCL
ArticularyWordRecognition,0.77666664,0.97,0.86866665,0.8973333,0.97466666
AtrialFibrillation,0.13333334,0.267,0.22666667,0.30666667,0.17333333
BasicMotions,1.0,0.676,1.0,0.975,0.995
CharacterTrajectories,0.82311976,0.964,0.944429,0.9047354,0.97674096
Cricket,0.9166667,0.944,0.9138889,0.9361111,0.9611111
DuckDuckGeese,0.5,0.275,0.364,0.344,0.472
ERing,0.6703704,0.133,0.83185184,0.8281481,0.8696296
EigenWorms,0.66412216,0.549,0.6061069,0.6183206,0.708397
Epilepsy,0.9710145,0.666,0.93043476,0.92753625,0.95797104
EthanolConcentration,0.27376425,0.293,0.29961976,0.2851711,0.2768061
FaceDetection,0.5124858,0.519,0.49858117,0.5026107,0.5046538
FingerMovements,0.52,0.55,0.526,0.51,0.608
HandMovementDirection,0.25675675,0.278,0.25405404,0.2918919,0.34594595
Handwriting,0.10823529,0.2,0.42917648,0.41505882,0.52188236
Heartbeat,0.6536585,0.619,0.6907317,0.6985366,0.68390244
InsectWingbeat,0.0,0.0,0.0,0.0,0.0
JapaneseVowels,0.9594595,0.924,0.87027025,0.8810811,0.8708108
LSST,0.55190593,0.456,0.4325223,0.38588807,0.44128144
Libras,0.60555553,0.833,0.60888886,0.5711111,0.8888889
MotorImagery,0.46,0.51,0.562,0.55,0.556
NATOPS,0.65555555,0.85,0.76,0.7277778,0.8155556
PEMS-SF,0.6647399,0.705,0.8,0.80462426,0.7086705
PenDigits,0.5305889,0.973,0.8617496,0.8743282,0.9743854
Phoneme,0.07127945,0.104,0.06817775,0.06388309,0.15753058
RacketSports,0.75,0.868,0.79868424,0.7894737,0.81578946
SelfRegulationSCP1,0.7713311,0.771,0.7153584,0.7235495,0.68464166
SelfRegulationSCP2,0.51666665,0.483,0.52111113,0.49888888,0.51555556
SpokenArabicDigits,0.75989085,0.967,0.45811734,0.50177354,0.926603
StandWalkJump,0.33333334,0.2,0.30666667,0.36,0.26666668
UWaveGestureLibrary,0.365625,0.881,0.606875,0.601875,0.874375
