Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ArticularyWordRecognition,0.9,0.91,0.89,0.876666666666667,0.91
AtrialFibrillation,0.4,0.2,0.266666666666667,0.333333333333333,0.333333333333333
BasicMotions,0.975,0.975,0.925,1,1
CharacterTrajectories,0.862813370473538,0.923398328690808,0.922701949860724,0.919220055710306,0.895543175487465
Cricket,0.944444444444444,0.944444444444444,0.902777777777778,0.930555555555556,0.958333333333333
DuckDuckGeese,0.32,0.4,0.34,0.34,0.32
ERing,0.851851851851852,0.796296296296296,0.837037037037037,0.833333333333333,0.822222222222222
EigenWorms,0.648854961832061,0.572519083969466,0.633587786259542,0.587786259541985,0.648854961832061
Epilepsy,0.920289855072464,0.905797101449275,0.934782608695652,0.934782608695652,0.942028985507246
EthanolConcentration,0.296577946768061,0.281368821292776,0.285171102661597,0.250950570342205,0.311787072243346
FaceDetection,0.487797956867196,0.498297389330307,0.513337116912599,0.515607264472191,0.498013620885358
FingerMovements,0.5,0.5,0.56,0.5,0.49
HandMovementDirection,0.337837837837838,0.202702702702703,0.283783783783784,0.364864864864865,0.27027027027027
Handwriting,0.415294117647059,0.410588235294118,0.442352941176471,0.412941176470588,0.394117647058823
Heartbeat,0.712195121951219,0.697560975609756,0.673170731707317,0.712195121951219,0.697560975609756
InsectWingbeat,0,0,0,0,0
JapaneseVowels,0.862162162162162,0.883783783783784,0.886486486486487,0.908108108108108,0.864864864864865
LSST,0.396593673965937,0.394566098945661,0.337388483373885,0.408759124087591,0.39213300892133
Libras,0.611111111111111,0.566666666666667,0.522222222222222,0.588888888888889,0.566666666666667
MotorImagery,0.56,0.49,0.53,0.52,0.65
NATOPS,0.788888888888889,0.661111111111111,0.733333333333333,0.655555555555556,0.8
PEMS-SF,0.809248554913295,0.786127167630058,0.809248554913295,0.826589595375723,0.791907514450867
PenDigits,0.853916523727844,0.865351629502573,0.912807318467696,0.887364208118925,0.852201257861635
Phoneme,0.056069191768566,0.068893528183716,0.064121682075753,0.062332239785267,0.067998807038473
RacketSports,0.81578947368421,0.796052631578947,0.736842105263158,0.822368421052632,0.776315789473684
SelfRegulationSCP1,0.713310580204778,0.74061433447099,0.726962457337884,0.709897610921502,0.726962457337884
SelfRegulationSCP2,0.511111111111111,0.5,0.461111111111111,0.522222222222222,0.5
SpokenArabicDigits,0.495225102319236,0.500227376080036,0.463847203274215,0.582082764893133,0.467485220554798
StandWalkJump,0.333333333333333,0.466666666666667,0.2,0.4,0.4
UWaveGestureLibrary,0.609375,0.603125,0.59375,0.625,0.578125
