Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ArticularyWordRecognition,0.976666666666667,0.963333333333333,0.973333333333333,0.976666666666667,0.983333333333333
AtrialFibrillation,0.2,0.2,0.133333333333333,0.133333333333333,0.2
BasicMotions,1,0.975,1,1,1
CharacterTrajectories,0.977019498607242,0.981197771587743,0.973537604456824,0.974930362116992,0.977019498607242
Cricket,0.958333333333333,0.972222222222222,0.958333333333333,0.944444444444444,0.972222222222222
DuckDuckGeese,0.5,0.44,0.52,0.42,0.48
ERing,0.888888888888889,0.859259259259259,0.87037037037037,0.877777777777778,0.851851851851852
EigenWorms,0.709923664122137,0.725190839694657,0.694656488549618,0.679389312977099,0.732824427480916
Epilepsy,0.956521739130435,0.963768115942029,0.942028985507246,0.963768115942029,0.963768115942029
EthanolConcentration,0.258555133079848,0.273764258555133,0.262357414448669,0.296577946768061,0.29277566539924
FaceDetection,0.491770715096481,0.511634506242906,0.507094211123723,0.511918274687855,0.500851305334847
FingerMovements,0.59,0.64,0.68,0.57,0.56
HandMovementDirection,0.418918918918919,0.297297297297297,0.310810810810811,0.378378378378378,0.324324324324324
Handwriting,0.511764705882353,0.534117647058823,0.52,0.517647058823529,0.525882352941177
Heartbeat,0.721951219512195,0.707317073170732,0.663414634146341,0.663414634146341,0.663414634146341
InsectWingbeat,0,0,0,0,0
JapaneseVowels,0.87027027027027,0.864864864864865,0.85945945945946,0.889189189189189,0.87027027027027
LSST,0.441605839416058,0.462287104622871,0.4330900243309,0.444038929440389,0.425385239253852
Libras,0.877777777777778,0.888888888888889,0.9,0.888888888888889,0.888888888888889
MotorImagery,0.48,0.57,0.57,0.54,0.62
NATOPS,0.822222222222222,0.777777777777778,0.816666666666667,0.855555555555556,0.805555555555556
PEMS-SF,0.69364161849711,0.739884393063584,0.710982658959538,0.69364161849711,0.705202312138728
PenDigits,0.973699256718125,0.975414522584334,0.973699256718125,0.973413379073756,0.975700400228702
Phoneme,0.160453325380257,0.161944527288995,0.1613480465255,0.152699075454817,0.151207873546078
RacketSports,0.809210526315789,0.822368421052632,0.809210526315789,0.81578947368421,0.822368421052632
SelfRegulationSCP1,0.74061433447099,0.723549488054607,0.617747440273037,0.658703071672355,0.68259385665529
SelfRegulationSCP2,0.45,0.511111111111111,0.527777777777778,0.566666666666667,0.522222222222222
SpokenArabicDigits,0.924511141427922,0.939517962710323,0.916325602546612,0.922692132787631,0.929968167348795
StandWalkJump,0.333333333333333,0.266666666666667,0.2,0.333333333333333,0.2
UWaveGestureLibrary,0.88125,0.884375,0.88125,0.865625,0.859375
