,HC,ED,CLG,CLD,MCL
ArticularyWordRecognition,1.0,4.0,2.0,3.0,5.0
AtrialFibrillation,1.0,4.0,3.0,5.0,2.0
BasicMotions,4.0,1.0,4.0,2.0,3.0
CharacterTrajectories,1.0,4.0,3.0,2.0,5.0
Cricket,2.0,4.0,1.0,3.0,5.0
DuckDuckGeese,5.0,1.0,3.0,2.0,4.0
ERing,2.0,1.0,4.0,3.0,5.0
EigenWorms,4.0,1.0,2.0,3.0,5.0
Epilepsy,5.0,1.0,3.0,2.0,4.0
EthanolConcentration,1.0,4.0,5.0,3.0,2.0
FaceDetection,4.0,5.0,1.0,2.0,3.0
FingerMovements,2.0,4.0,3.0,1.0,5.0
HandMovementDirection,2.0,3.0,1.0,4.0,5.0
Handwriting,1.0,2.0,4.0,3.0,5.0
Heartbeat,2.0,1.0,4.0,5.0,3.0
InsectWingbeat,1.0,1.0,1.0,1.0,1.0
JapaneseVowels,5.0,4.0,1.0,3.0,2.0
LSST,5.0,4.0,2.0,1.0,3.0
Libras,2.0,4.0,3.0,1.0,5.0
MotorImagery,1.0,2.0,5.0,3.0,4.0
NATOPS,1.0,5.0,3.0,2.0,4.0
PEMS-SF,1.0,2.0,4.0,5.0,3.0
PenDigits,1.0,4.0,2.0,3.0,5.0
Phoneme,3.0,4.0,2.0,1.0,5.0
RacketSports,1.0,5.0,3.0,2.0,4.0
SelfRegulationSCP1,5.0,4.0,2.0,3.0,1.0
SelfRegulationSCP2,4.0,1.0,5.0,2.0,3.0
SpokenArabicDigits,3.0,5.0,1.0,2.0,4.0
StandWalkJump,4.0,1.0,3.0,5.0,2.0
UWaveGestureLibrary,1.0,5.0,3.0,2.0,4.0
